,date,open,high,low,close,volume,amount
408,2015-09-30,4137.1802,4181.0601,4125.2002,4181.0601,788779805,3278270000000
409,2015-10-01,4185.2798,4194.1802,4128.3398,4192.96,705848859,2947050000000
410,2015-10-02,4136.96,4267.4502,4124.54,4267.4502,794928175,3337980000000
411,2015-10-05,4296.54,4339.23,4290.25,4331.4302,694278970,2995370000000
412,2015-10-06,4315.3198,4332.0298,4273.7002,4306.7002,701983012,3023400000000
413,2015-10-07,4331.8701,4342.5801,4279.21,4333.46,720221958,3112640000000
414,2015-10-08,4316.1802,4358.0898,4275.6001,4350.1499,694863931,3005290000000
415,2015-10-09,4355.2402,4378.2598,4341.5098,4370.0098,587332934,2561510000000
416,2015-10-12,4378.6401,4389.77,4363.96,4382.5601,437059633,1913770000000
417,2015-10-13,4354.0601,4399.9302,4349.1802,4352.9399,488384047,2131320000000
418,2015-10-14,4356.8198,4373.71,4328.96,4346.9199,702282486,3056050000000
419,2015-10-15,4361.98,4418.25,4357.2202,4418.2202,666708535,2926130000000
420,2015-10-16,4419.9502,4438.75,4405.8799,4438.6201,581860902,2575200000000
421,2015-10-19,4428.0601,4464.7798,4420.7998,4462.0698,535391413,2379240000000
422,2015-10-20,4454.6201,4463.1099,4424.3398,4438.1802,626093601,2783030000000
423,2015-10-21,4462.2202,4464.73,4409.8999,4413.52,691563886,3068880000000
424,2015-10-22,4451.3198,4504.7002,4438.6001,4503.2202,841005754,3763050000000
425,2015-10-23,4623.7202,4645.96,4598.7402,4624.0898,863207368,3990720000000
426,2015-10-26,4621.1401,4638.75,4606.6602,4630.8501,633363104,2928890000000
427,2015-10-27,4617.6001,4645.9399,4617.4399,4639.23,616880630,2856190000000
428,2015-10-28,4649.1001,4678.5801,4609.9302,4678.5801,705695426,3284340000000
429,2015-10-29,4657.7798,4678.2002,4653.0,4670.77,591151762,2757690000000
430,2015-10-30,4676.2998,4681.23,4648.8301,4648.8301,641426080,2991480000000
431,2015-11-02,4658.79,4707.77,4652.4502,4703.9199,536249722,2510040000000
432,2015-11-03,4692.0298,4735.3101,4685.98,4719.0498,602889989,2838460000000
433,2015-11-04,4729.0698,4737.1201,4698.8398,4717.5498,672947292,3176750000000
434,2015-11-05,4718.5098,4731.5601,4678.79,4702.8999,684373153,3221990000000
435,2015-11-06,4695.8799,4710.4702,4665.4102,4707.23,646971457,3037370000000
436,2015-11-09,4687.3501,4694.27,4627.1201,4655.52,567678162,2648820000000
437,2015-11-10,4628.8301,4647.3198,4616.71,4641.73,602614703,2792300000000
438,2015-11-11,4657.1899,4677.7798,4631.0601,4636.9399,560616011,2607280000000
439,2015-11-12,4617.7798,4639.2598,4588.0801,4588.9302,584673808,2694480000000
440,2015-11-13,4566.1201,4575.7998,4499.1499,4502.1401,704265659,3194410000000
441,2015-11-16,4494.5601,4566.0298,4486.0898,4565.4702,638090095,2889300000000
442,2015-11-17,4571.54,4598.27,4554.8901,4565.8198,594895446,2720240000000
443,2015-11-18,4586.2402,4657.6299,4580.7202,4653.4399,651655697,3010330000000
444,2015-11-19,4657.6099,4678.02,4648.9399,4655.3501,585156225,2726820000000
445,2015-11-20,4680.5098,4691.5898,4674.6099,4686.3599,592224749,2773550000000
446,2015-11-23,4689.98,4706.6201,4655.6001,4674.79,457562660,2142190000000
447,2015-11-24,4645.52,4682.1299,4621.6299,4669.4102,541546949,2520720000000
448,2015-11-25,4674.23,4683.5498,4666.23,4672.8799,386539448,1806770000000
449,2015-11-27,4680.4399,4689.5801,4665.9199,4680.46,204975079,959099000000
450,2015-11-30,4692.5698,4695.0601,4654.5298,4664.5098,654688537,3061760000000
451,2015-12-01,4685.7402,4716.1602,4682.3999,4716.1602,593252501,2788350000000
